date,confirmed,suspected
2020/1/21,149,26
2020/1/22,131,257
2020/1/23,259,680
2020/1/24,444,1118
2020/1/25,688,1309
2020/1/26,769,3806
2020/1/27,1771,2077
2020/1/28,1459,3248
2020/1/29,1737,4148
2020/1/30,1982,4812
2020/1/31,2102,5019
2020/2/1,2590,4562
2020/2/2,2829,5173
2020/2/3,3235,5072
2020/2/4,3887,3971
2020/2/5,3694,5328
2020/2/6,3143,4833
2020/2/7,3399,4214
2020/2/8,2656,3916
2020/2/9,3062,4008
2020/2/10,2478,3536
2020/2/11,2015,3342
2020/2/12,15152,2807
2020/2/13,5090,2450
2020/2/14,2641,2277
2020/2/15,2009,1918
2020/2/16,2048,1563
2020/2/17,1886,1432
2020/2/18,1749,1185
2020/2/19,394,1277
2020/2/20,889,1614
2020/2/21,397,1361
2020/2/22,648,882
2020/2/23,409,620
2020/2/24,508,530
2020/2/25,406,439
2020/2/26,433,508
2020/2/27,327,452
2020/2/28,427,248
2020/2/29,573,132
2020/3/1,202,141
2020/3/2,125,129
2020/3/3,119,143
2020/3/4,139,143
2020/3/5,143,102
2020/3/6,99,99
2020/3/7,44,84
2020/3/8,40,60
2020/3/9,19,36
2020/3/10,24,31
2020/3/11,15,33
2020/3/12,8,33
2020/3/13,11,17
2020/3/14,20,39
2020/3/15,16,41
2020/3/16,21,45
2020/3/17,13,21
2020/3/18,34,23
2020/3/19,39,31
2020/3/20,41,36
2020/3/21,46,45
